ITU-T G652 SSMF (unpolarized Pump),
Frequency (THz),Raman gain coefficient g0/Aeff/K [1/W/km]
0,0
-0.5,0.00683625
-0.6,0.01086824
-0.7,0.015333475
-0.8,0.019898385
-0.9,0.024967558
-1,0.030357398
-1.1,0.035821038
-1.2,0.040896459
-1.3,0.0455045
-1.4,0.049897681
-1.5,0.054037669
-1.6,0.058146386
-1.7,0.061504152
-1.8,0.064610409
-1.9,0.067323668
-2,0.070147055
-2.1,0.072719111
-2.2,0.074897345
-2.3,0.077148369
-2.4,0.079182054
-2.5,0.081361996
-2.6,0.083072948
-2.7,0.085146043
-2.8,0.086931537
-2.9,0.088646495
-3,0.09007417
-3.1,0.091466919
-3.2,0.092647093
-3.3,0.093539861
-3.4,0.094397377
-3.5,0.095181477
-3.6,0.096182879
-3.7,0.096931606
-3.8,0.097684145
-3.9,0.097897744
-4,0.098219666
-4.1,0.098503171
-4.2,0.099182553
-4.3,0.099753304
-4.4,0.100396795
-4.5,0.100788897
-4.6,0.101324825
-4.7,0.101895311
-4.8,0.102644698
-4.9,0.10357165
-5,0.104607819
-5.1,0.105430432
-5.2,0.106001484
-5.3,0.10678552
-5.4,0.107927496
-5.5,0.109285303
-5.6,0.110355672
-5.7,0.111462914
-5.8,0.112712116
-5.9,0.113996479
-6,0.115390146
-6.1,0.116675056
-6.2,0.118172048
-6.3,0.119887362
-6.4,0.121386953
-6.5,0.12306624
-6.6,0.124457231
-6.7,0.126384656
-6.8,0.12824057
-6.9,0.130347694
-7,0.132311121
-7.1,0.134309813
-7.2,0.136558765
-7.3,0.139235405
-7.4,0.141878983
-7.5,0.144343511
-7.6,0.146770166
-7.7,0.149555615
-7.8,0.152089362
-7.9,0.154801747
-8,0.157695039
-8.1,0.160765786
-8.2,0.164012118
-8.3,0.167510061
-8.4,0.171402175
-8.5,0.175045635
-8.6,0.178261035
-8.7,0.18150812
-8.8,0.184898693
-8.9,0.188292043
-9,0.191614257
-9.1,0.19472026
-9.2,0.198076817
-9.3,0.201325113
-9.4,0.204751406
-9.5,0.208391783
-9.6,0.212250218
-9.7,0.215854405
-9.8,0.219604855
-9.9,0.223460041
-10,0.227776352
-10.1,0.232204281
-10.2,0.236559925
-10.3,0.241063309
-10.4,0.245060181
-10.5,0.249414422
-10.6,0.254163939
-10.7,0.259338824
-10.8,0.264376479
-10.9,0.268804385
-11,0.273015135
-11.1,0.277084092
-11.2,0.281654984
-11.3,0.285904666
-11.4,0.289978163
-11.5,0.293904402
-11.6,0.297831176
-11.7,0.30168945
-11.8,0.30525859
-11.9,0.308865349
-12,0.312576943
-12.1,0.316077664
-12.2,0.31932721
